timestamp,src_ip,dst_ip,port,protocol,action
2025-05-17 15:58:09,192.168.1.18,192.168.1.173,443,TCP,ACCEPT
2025-05-17 12:49:16,192.168.1.85,192.168.1.166,25,ICMP,DROP
2025-05-17 20:26:52,192.168.1.14,192.168.1.141,8080,ICMP,DROP
2025-05-17 12:36:44,192.168.1.75,192.168.1.181,443,UDP,DROP
2025-05-17 08:39:27,192.168.1.43,192.168.1.181,143,UDP,ACCEPT
2025-05-17 18:45:11,192.168.1.112,192.168.1.82,21,TCP,ACCEPT
2025-05-18 09:22:05,192.168.1.77,192.168.1.193,110,UDP,ACCEPT
2025-05-18 02:30:00,192.168.1.38,192.168.1.188,80,ICMP,ACCEPT
2025-05-18 07:54:16,192.168.1.127,192.168.1.20,3306,ICMP,REJECT
2025-05-18 01:13:51,192.168.1.55,192.168.1.190,21,TCP,DROP
2025-05-18 10:13:41,192.168.1.16,192.168.1.127,110,UDP,DROP
2025-05-18 03:39:05,192.168.1.195,192.168.1.99,143,ICMP,DROP
2025-05-17 09:38:19,192.168.1.9,192.168.1.23,443,TCP,DROP
2025-05-17 08:50:11,192.168.1.99,192.168.1.168,80,TCP,REJECT
2025-05-18 09:35:33,192.168.1.253,192.168.1.226,25,UDP,DROP
2025-05-17 13:34:37,192.168.1.159,192.168.1.234,143,ICMP,ACCEPT
2025-05-17 21:24:22,192.168.1.201,192.168.1.38,21,UDP,DROP
2025-05-17 18:05:06,192.168.1.86,192.168.1.226,8080,UDP,DROP
2025-05-17 19:41:05,192.168.1.17,192.168.1.173,22,ICMP,DROP
2025-05-17 08:04:04,192.168.1.79,192.168.1.33,25,UDP,DROP
2025-05-17 18:27:36,192.168.1.186,192.168.1.157,3306,UDP,ACCEPT
2025-05-17 14:54:21,192.168.1.194,192.168.1.93,110,UDP,DROP
2025-05-17 16:43:52,192.168.1.96,192.168.1.172,110,TCP,ACCEPT
2025-05-17 18:41:12,192.168.1.136,192.168.1.159,21,ICMP,ACCEPT
2025-05-18 03:18:29,192.168.1.40,192.168.1.33,143,ICMP,DROP
2025-05-18 08:54:35,192.168.1.94,192.168.1.106,22,TCP,DROP
2025-05-18 05:08:41,192.168.1.136,192.168.1.7,25,UDP,ACCEPT
2025-05-17 10:10:44,192.168.1.33,192.168.1.26,8080,UDP,REJECT
2025-05-18 07:18:50,192.168.1.48,192.168.1.61,25,ICMP,DROP
2025-05-17 19:42:05,192.168.1.124,192.168.1.200,143,TCP,REJECT
2025-05-17 21:51:32,192.168.1.221,192.168.1.14,53,ICMP,REJECT
2025-05-17 10:28:23,192.168.1.232,192.168.1.196,443,TCP,DROP
2025-05-17 19:53:56,192.168.1.171,192.168.1.229,110,TCP,ACCEPT
2025-05-18 05:50:01,192.168.1.142,192.168.1.209,21,UDP,REJECT
2025-05-17 23:34:33,192.168.1.83,192.168.1.214,22,ICMP,DROP
2025-05-17 14:18:44,192.168.1.170,192.168.1.144,443,UDP,DROP
2025-05-18 04:23:33,192.168.1.184,192.168.1.153,443,TCP,ACCEPT
2025-05-18 08:04:38,192.168.1.54,192.168.1.140,110,UDP,ACCEPT
2025-05-17 09:02:28,192.168.1.178,192.168.1.1,22,ICMP,ACCEPT
2025-05-18 07:28:28,192.168.1.130,192.168.1.47,3306,TCP,ACCEPT
2025-05-18 01:46:32,192.168.1.97,192.168.1.49,21,ICMP,REJECT
2025-05-17 21:24:27,192.168.1.62,192.168.1.248,110,UDP,ACCEPT
2025-05-18 04:18:28,192.168.1.201,192.168.1.230,25,ICMP,ACCEPT
2025-05-17 18:34:04,192.168.1.18,192.168.1.69,80,ICMP,DROP
2025-05-18 10:32:36,192.168.1.254,192.168.1.148,443,ICMP,DROP
2025-05-17 12:46:15,192.168.1.21,192.168.1.85,21,UDP,ACCEPT
2025-05-17 09:16:02,192.168.1.47,192.168.1.10,80,UDP,REJECT
2025-05-18 10:48:21,192.168.1.153,192.168.1.164,21,ICMP,DROP
2025-05-18 10:43:07,192.168.1.76,192.168.1.145,53,ICMP,DROP
2025-05-17 11:18:58,192.168.1.242,192.168.1.87,8080,TCP,ACCEPT
2025-05-17 17:56:55,192.168.1.40,192.168.1.222,110,ICMP,ACCEPT
2025-05-17 12:42:46,192.168.1.163,192.168.1.238,53,TCP,ACCEPT
2025-05-18 09:11:04,192.168.1.192,192.168.1.128,143,UDP,REJECT
2025-05-18 06:47:53,192.168.1.118,192.168.1.249,443,UDP,DROP
2025-05-17 20:09:56,192.168.1.85,192.168.1.222,8080,UDP,REJECT
2025-05-17 16:32:41,192.168.1.133,192.168.1.161,3306,UDP,DROP
2025-05-17 15:45:43,192.168.1.202,192.168.1.168,25,TCP,REJECT
2025-05-17 21:41:49,192.168.1.233,192.168.1.178,8080,UDP,ACCEPT
2025-05-18 00:41:45,192.168.1.98,192.168.1.171,443,ICMP,ACCEPT
2025-05-18 08:08:54,192.168.1.87,192.168.1.59,8080,TCP,ACCEPT
2025-05-18 01:03:06,192.168.1.83,192.168.1.142,22,UDP,REJECT
2025-05-17 13:38:16,192.168.1.198,192.168.1.23,143,TCP,REJECT
2025-05-18 11:45:04,192.168.1.24,192.168.1.197,110,TCP,ACCEPT
2025-05-18 02:45:15,192.168.1.98,192.168.1.86,53,ICMP,REJECT
2025-05-17 19:06:38,192.168.1.36,192.168.1.201,22,ICMP,DROP
2025-05-17 12:31:08,192.168.1.10,192.168.1.168,110,TCP,DROP
2025-05-17 08:19:32,192.168.1.209,192.168.1.216,21,TCP,REJECT
2025-05-17 20:51:41,192.168.1.57,192.168.1.86,21,UDP,REJECT
2025-05-18 05:17:22,192.168.1.191,192.168.1.117,443,UDP,ACCEPT
2025-05-17 10:59:51,192.168.1.100,192.168.1.198,22,TCP,ACCEPT
2025-05-18 03:04:45,192.168.1.241,192.168.1.91,25,TCP,ACCEPT
2025-05-17 23:09:09,192.168.1.46,192.168.1.221,443,UDP,DROP
2025-05-18 05:08:08,192.168.1.128,192.168.1.136,22,TCP,REJECT
2025-05-17 17:28:20,192.168.1.6,192.168.1.132,22,TCP,ACCEPT
2025-05-17 13:04:53,192.168.1.34,192.168.1.138,443,UDP,REJECT
2025-05-18 01:05:16,192.168.1.251,192.168.1.107,3306,UDP,ACCEPT
2025-05-18 08:25:26,192.168.1.224,192.168.1.143,8080,ICMP,ACCEPT
2025-05-18 02:41:53,192.168.1.165,192.168.1.13,22,UDP,ACCEPT
2025-05-17 09:52:23,192.168.1.77,192.168.1.76,143,TCP,DROP
2025-05-17 18:06:40,192.168.1.253,192.168.1.122,22,UDP,REJECT
2025-05-18 03:44:28,192.168.1.31,192.168.1.42,21,TCP,DROP
2025-05-18 05:51:53,192.168.1.6,192.168.1.228,8080,ICMP,ACCEPT
2025-05-18 07:32:00,192.168.1.159,192.168.1.147,110,ICMP,ACCEPT
2025-05-17 18:54:36,192.168.1.118,192.168.1.168,3306,TCP,REJECT
2025-05-18 01:56:37,192.168.1.65,192.168.1.97,22,TCP,DROP
2025-05-18 02:16:35,192.168.1.186,192.168.1.142,3306,TCP,DROP
2025-05-17 08:35:49,192.168.1.65,192.168.1.132,22,UDP,DROP
2025-05-18 00:55:27,192.168.1.92,192.168.1.146,21,UDP,DROP
2025-05-17 23:39:54,192.168.1.103,192.168.1.150,110,UDP,ACCEPT
2025-05-18 08:10:30,192.168.1.79,192.168.1.7,21,ICMP,ACCEPT
2025-05-17 18:51:31,192.168.1.33,192.168.1.170,143,UDP,ACCEPT
2025-05-18 09:29:17,192.168.1.224,192.168.1.233,443,ICMP,REJECT
2025-05-17 19:45:08,192.168.1.83,192.168.1.71,143,UDP,DROP
2025-05-18 10:08:56,192.168.1.83,192.168.1.173,21,UDP,REJECT
2025-05-18 08:31:33,192.168.1.207,192.168.1.20,53,ICMP,REJECT
2025-05-18 11:05:46,192.168.1.28,192.168.1.144,53,ICMP,DROP
2025-05-17 17:26:16,192.168.1.152,192.168.1.252,53,UDP,ACCEPT
2025-05-18 04:51:35,192.168.1.7,192.168.1.31,3306,ICMP,ACCEPT
2025-05-17 12:39:24,192.168.1.44,192.168.1.14,3306,ICMP,DROP
2025-05-17 18:34:25,192.168.1.158,192.168.1.72,443,UDP,ACCEPT
2025-05-17 21:59:07,192.168.1.33,192.168.1.14,80,TCP,DROP
2025-05-18 10:57:33,192.168.1.16,192.168.1.232,143,UDP,REJECT
2025-05-18 08:37:23,192.168.1.129,192.168.1.104,80,TCP,REJECT
2025-05-17 09:00:36,192.168.1.234,192.168.1.110,110,ICMP,DROP
2025-05-17 17:54:01,192.168.1.188,192.168.1.105,143,ICMP,REJECT
2025-05-17 09:26:04,192.168.1.158,192.168.1.55,8080,ICMP,REJECT
2025-05-18 02:50:25,192.168.1.7,192.168.1.92,143,ICMP,DROP
2025-05-17 12:59:15,192.168.1.92,192.168.1.228,21,UDP,REJECT
2025-05-17 13:00:35,192.168.1.202,192.168.1.87,143,ICMP,ACCEPT
2025-05-17 21:25:45,192.168.1.86,192.168.1.240,80,ICMP,REJECT
2025-05-18 06:07:26,192.168.1.35,192.168.1.74,143,ICMP,DROP
2025-05-17 11:06:48,192.168.1.18,192.168.1.207,22,ICMP,DROP
2025-05-18 01:52:29,192.168.1.79,192.168.1.51,143,ICMP,DROP
2025-05-17 21:42:58,192.168.1.4,192.168.1.118,53,ICMP,REJECT
2025-05-18 03:15:25,192.168.1.190,192.168.1.50,22,UDP,ACCEPT
2025-05-17 17:58:20,192.168.1.164,192.168.1.155,53,UDP,DROP
2025-05-18 03:05:40,192.168.1.222,192.168.1.72,3306,UDP,DROP
2025-05-18 10:33:48,192.168.1.181,192.168.1.116,21,ICMP,DROP
2025-05-17 07:59:25,192.168.1.73,192.168.1.33,80,TCP,ACCEPT
2025-05-18 03:12:26,192.168.1.53,192.168.1.134,22,TCP,ACCEPT
2025-05-17 23:43:58,192.168.1.127,192.168.1.137,25,ICMP,ACCEPT
2025-05-17 13:10:45,192.168.1.17,192.168.1.13,8080,UDP,REJECT
2025-05-17 10:36:03,192.168.1.166,192.168.1.231,22,ICMP,ACCEPT
2025-05-17 19:07:11,192.168.1.213,192.168.1.24,53,ICMP,ACCEPT
2025-05-18 04:40:39,192.168.1.167,192.168.1.225,25,UDP,DROP
2025-05-18 08:19:59,192.168.1.114,192.168.1.254,53,TCP,ACCEPT
2025-05-18 09:45:09,192.168.1.122,192.168.1.203,443,UDP,ACCEPT
2025-05-18 02:34:55,192.168.1.84,192.168.1.226,143,ICMP,DROP
2025-05-17 09:07:40,192.168.1.199,192.168.1.212,8080,ICMP,DROP
2025-05-17 20:19:01,192.168.1.87,192.168.1.228,25,UDP,REJECT
2025-05-17 23:45:09,192.168.1.87,192.168.1.207,3306,TCP,ACCEPT
2025-05-17 18:46:09,192.168.1.216,192.168.1.134,53,ICMP,DROP
2025-05-17 23:14:38,192.168.1.146,192.168.1.120,110,ICMP,DROP
2025-05-18 08:21:27,192.168.1.249,192.168.1.2,8080,TCP,ACCEPT
2025-05-17 15:21:19,192.168.1.172,192.168.1.2,80,ICMP,DROP
2025-05-18 01:02:14,192.168.1.196,192.168.1.36,80,TCP,REJECT
2025-05-17 21:01:38,192.168.1.168,192.168.1.162,8080,TCP,DROP
2025-05-18 01:49:08,192.168.1.15,192.168.1.22,22,TCP,ACCEPT
2025-05-18 00:44:02,192.168.1.90,192.168.1.41,53,UDP,REJECT
2025-05-18 04:30:28,192.168.1.70,192.168.1.132,8080,TCP,REJECT
2025-05-18 05:10:24,192.168.1.20,192.168.1.210,21,TCP,ACCEPT
2025-05-17 11:24:03,192.168.1.11,192.168.1.142,53,TCP,REJECT
2025-05-17 17:12:32,192.168.1.238,192.168.1.154,80,UDP,ACCEPT
2025-05-17 12:11:28,192.168.1.36,192.168.1.154,443,UDP,DROP
2025-05-17 16:51:16,192.168.1.86,192.168.1.166,22,TCP,ACCEPT
2025-05-17 19:40:20,192.168.1.180,192.168.1.204,443,TCP,REJECT
2025-05-17 18:46:23,192.168.1.129,192.168.1.215,443,TCP,DROP
2025-05-17 12:22:41,192.168.1.188,192.168.1.75,143,TCP,DROP
2025-05-17 11:22:58,192.168.1.14,192.168.1.12,53,ICMP,ACCEPT
2025-05-18 10:03:39,192.168.1.116,192.168.1.161,22,TCP,ACCEPT
2025-05-17 21:23:17,192.168.1.74,192.168.1.182,143,UDP,DROP
2025-05-18 08:14:42,192.168.1.252,192.168.1.20,8080,ICMP,REJECT
2025-05-18 02:08:11,192.168.1.245,192.168.1.222,25,UDP,DROP
2025-05-17 16:40:48,192.168.1.1,192.168.1.23,80,TCP,DROP
2025-05-17 21:35:53,192.168.1.146,192.168.1.137,80,TCP,ACCEPT
2025-05-17 13:51:50,192.168.1.158,192.168.1.20,21,UDP,ACCEPT
2025-05-18 08:59:06,192.168.1.100,192.168.1.177,110,TCP,ACCEPT
2025-05-18 11:13:49,192.168.1.27,192.168.1.203,22,TCP,REJECT
2025-05-18 04:19:30,192.168.1.71,192.168.1.21,8080,UDP,DROP
2025-05-18 10:52:44,192.168.1.112,192.168.1.244,443,TCP,REJECT
2025-05-17 12:55:48,192.168.1.143,192.168.1.26,443,ICMP,ACCEPT
2025-05-18 03:40:00,192.168.1.104,192.168.1.247,21,UDP,ACCEPT
2025-05-18 11:13:00,192.168.1.222,192.168.1.240,21,ICMP,REJECT
2025-05-18 10:42:07,192.168.1.69,192.168.1.185,80,UDP,ACCEPT
2025-05-17 19:47:28,192.168.1.216,192.168.1.196,110,UDP,DROP
2025-05-17 10:28:30,192.168.1.89,192.168.1.154,443,UDP,ACCEPT
2025-05-17 17:11:01,192.168.1.211,192.168.1.120,80,TCP,ACCEPT
2025-05-18 01:50:55,192.168.1.228,192.168.1.40,8080,UDP,ACCEPT
2025-05-17 08:27:02,192.168.1.164,192.168.1.96,22,UDP,DROP
2025-05-17 22:25:15,192.168.1.99,192.168.1.169,25,ICMP,ACCEPT
2025-05-18 04:58:55,192.168.1.163,192.168.1.104,80,TCP,DROP
2025-05-17 09:10:20,192.168.1.200,192.168.1.119,8080,ICMP,ACCEPT
2025-05-18 07:22:07,192.168.1.231,192.168.1.105,110,UDP,REJECT
2025-05-17 18:48:40,192.168.1.29,192.168.1.236,25,TCP,ACCEPT
2025-05-18 10:25:36,192.168.1.174,192.168.1.14,8080,TCP,ACCEPT
2025-05-17 21:56:43,192.168.1.54,192.168.1.97,110,TCP,REJECT
2025-05-17 16:03:43,192.168.1.74,192.168.1.135,8080,ICMP,DROP
2025-05-18 06:52:04,192.168.1.130,192.168.1.188,110,UDP,ACCEPT
2025-05-17 10:24:20,192.168.1.206,192.168.1.66,25,TCP,ACCEPT
2025-05-17 20:23:30,192.168.1.184,192.168.1.122,3306,TCP,ACCEPT
2025-05-18 10:13:39,192.168.1.224,192.168.1.155,443,UDP,ACCEPT
2025-05-18 08:32:25,192.168.1.154,192.168.1.234,53,ICMP,ACCEPT
2025-05-17 10:35:55,192.168.1.43,192.168.1.157,3306,UDP,DROP
2025-05-18 03:14:54,192.168.1.246,192.168.1.134,110,UDP,REJECT
2025-05-17 16:10:52,192.168.1.182,192.168.1.133,21,TCP,ACCEPT
2025-05-17 11:44:50,192.168.1.204,192.168.1.221,443,ICMP,REJECT
2025-05-17 20:38:07,192.168.1.112,192.168.1.48,21,ICMP,ACCEPT
2025-05-17 22:05:14,192.168.1.48,192.168.1.21,3306,TCP,ACCEPT
2025-05-17 19:16:37,192.168.1.36,192.168.1.224,8080,ICMP,REJECT
2025-05-18 05:27:17,192.168.1.187,192.168.1.200,53,ICMP,ACCEPT
2025-05-17 13:41:20,192.168.1.102,192.168.1.58,22,ICMP,DROP
2025-05-18 06:22:52,192.168.1.96,192.168.1.207,3306,ICMP,REJECT
2025-05-18 10:04:39,192.168.1.72,192.168.1.197,443,UDP,DROP
2025-05-18 00:18:30,192.168.1.43,192.168.1.141,3306,ICMP,ACCEPT
2025-05-17 12:59:05,192.168.1.198,192.168.1.224,80,TCP,DROP
2025-05-17 10:35:55,192.168.1.18,192.168.1.66,80,TCP,ACCEPT
2025-05-18 02:53:52,192.168.1.152,192.168.1.49,143,UDP,REJECT
2025-05-17 21:41:15,192.168.1.159,192.168.1.111,110,UDP,ACCEPT
2025-05-17 22:24:53,192.168.1.244,192.168.1.95,53,UDP,DROP
2025-05-17 08:20:02,192.168.1.237,192.168.1.29,22,ICMP,DROP
2025-05-17 20:07:04,192.168.1.176,192.168.1.99,110,ICMP,ACCEPT
2025-05-17 20:53:27,192.168.1.254,192.168.1.244,8080,ICMP,DROP
2025-05-18 04:26:04,192.168.1.132,192.168.1.214,25,ICMP,REJECT
2025-05-18 09:58:06,192.168.1.83,192.168.1.11,143,TCP,DROP
2025-05-17 18:30:00,192.168.1.148,192.168.1.201,22,ICMP,DROP
2025-05-17 11:06:13,192.168.1.215,192.168.1.125,22,UDP,ACCEPT
2025-05-17 15:45:49,192.168.1.20,192.168.1.215,80,ICMP,ACCEPT
2025-05-18 06:14:51,192.168.1.15,192.168.1.140,25,TCP,ACCEPT
2025-05-18 07:11:22,192.168.1.99,192.168.1.14,80,ICMP,DROP
2025-05-18 03:31:22,192.168.1.144,192.168.1.6,21,ICMP,ACCEPT
2025-05-17 22:57:40,192.168.1.178,192.168.1.51,143,TCP,REJECT
2025-05-18 08:30:38,192.168.1.191,192.168.1.1,80,UDP,REJECT
2025-05-17 18:15:46,192.168.1.65,192.168.1.17,143,UDP,ACCEPT
2025-05-18 02:05:00,192.168.1.173,192.168.1.12,8080,TCP,DROP
2025-05-17 10:35:29,192.168.1.125,192.168.1.89,3306,ICMP,ACCEPT
2025-05-17 10:08:31,192.168.1.153,192.168.1.31,25,ICMP,ACCEPT
2025-05-18 01:43:00,192.168.1.140,192.168.1.234,8080,UDP,REJECT
2025-05-18 03:44:13,192.168.1.217,192.168.1.236,53,UDP,REJECT
2025-05-17 16:40:19,192.168.1.153,192.168.1.208,8080,TCP,REJECT
2025-05-18 08:47:42,192.168.1.229,192.168.1.57,22,UDP,REJECT
2025-05-18 09:34:52,192.168.1.32,192.168.1.30,443,TCP,REJECT
2025-05-17 19:55:54,192.168.1.138,192.168.1.217,80,ICMP,REJECT
2025-05-18 06:55:43,192.168.1.135,192.168.1.178,25,ICMP,DROP
2025-05-18 00:40:02,192.168.1.245,192.168.1.123,22,TCP,ACCEPT
2025-05-17 16:52:56,192.168.1.20,192.168.1.179,110,TCP,DROP
2025-05-18 09:04:37,192.168.1.27,192.168.1.190,80,TCP,ACCEPT
2025-05-18 08:19:55,192.168.1.210,192.168.1.20,443,UDP,REJECT
2025-05-18 03:21:10,192.168.1.122,192.168.1.68,53,ICMP,ACCEPT
2025-05-18 11:06:02,192.168.1.102,192.168.1.143,8080,ICMP,ACCEPT
2025-05-17 22:20:45,192.168.1.69,192.168.1.127,25,UDP,DROP
2025-05-17 11:09:22,192.168.1.73,192.168.1.225,143,ICMP,ACCEPT
2025-05-17 15:13:04,192.168.1.50,192.168.1.42,443,UDP,DROP
2025-05-17 21:34:09,192.168.1.181,192.168.1.162,21,TCP,DROP
2025-05-17 18:45:40,192.168.1.32,192.168.1.178,25,TCP,ACCEPT
2025-05-17 16:52:52,192.168.1.98,192.168.1.211,21,TCP,ACCEPT
2025-05-18 03:59:32,192.168.1.169,192.168.1.174,53,UDP,DROP
2025-05-17 10:29:20,192.168.1.9,192.168.1.192,22,TCP,ACCEPT
2025-05-18 08:54:38,192.168.1.74,192.168.1.157,53,UDP,DROP
2025-05-17 13:54:45,192.168.1.132,192.168.1.152,443,TCP,ACCEPT
2025-05-17 22:16:13,192.168.1.161,192.168.1.197,110,TCP,DROP
2025-05-17 20:24:10,192.168.1.150,192.168.1.72,22,TCP,REJECT
2025-05-18 06:12:37,192.168.1.1,192.168.1.70,80,TCP,REJECT
2025-05-17 15:01:07,192.168.1.47,192.168.1.43,53,TCP,REJECT
2025-05-17 14:58:35,192.168.1.141,192.168.1.121,143,TCP,DROP
2025-05-17 20:20:59,192.168.1.253,192.168.1.58,80,ICMP,REJECT
2025-05-17 09:28:05,192.168.1.235,192.168.1.97,110,ICMP,REJECT
2025-05-17 17:56:54,192.168.1.161,192.168.1.139,143,TCP,ACCEPT
2025-05-17 20:02:49,192.168.1.178,192.168.1.41,3306,TCP,REJECT
2025-05-17 13:15:11,192.168.1.62,192.168.1.35,143,UDP,DROP
2025-05-18 01:48:23,192.168.1.82,192.168.1.185,21,ICMP,REJECT
2025-05-18 07:45:08,192.168.1.197,192.168.1.163,22,ICMP,REJECT
2025-05-18 03:35:22,192.168.1.98,192.168.1.219,443,UDP,ACCEPT
2025-05-18 02:07:57,192.168.1.166,192.168.1.25,143,TCP,DROP
2025-05-17 11:16:13,192.168.1.49,192.168.1.88,22,ICMP,REJECT
2025-05-17 14:05:17,192.168.1.92,192.168.1.48,53,UDP,REJECT
2025-05-17 15:12:31,192.168.1.127,192.168.1.24,22,ICMP,REJECT
2025-05-17 08:09:32,192.168.1.120,192.168.1.25,143,ICMP,REJECT
2025-05-18 02:02:28,192.168.1.230,192.168.1.6,21,TCP,DROP
2025-05-18 08:27:28,192.168.1.83,192.168.1.144,8080,UDP,DROP
2025-05-18 00:36:55,192.168.1.159,192.168.1.109,110,TCP,DROP
2025-05-17 10:04:09,192.168.1.100,192.168.1.185,110,ICMP,REJECT
2025-05-18 05:04:40,192.168.1.196,192.168.1.54,143,TCP,DROP
2025-05-18 03:19:56,192.168.1.228,192.168.1.103,110,TCP,DROP
